University,Course,Department,Branch,Semester,CGPA,Interest,Mode_of_Study,Institution_Type,Location,Medium_of_Education,career_readiness
University of Cambridge,B.Tech Electronics,Engineering,Mechanical,8,5.73,Job,Online,Deemed,Semi-Urban,Hindi,0
Patna University,M.Com,Commerce,Accounting,8,7.39,Research,Online,Deemed,Rural,English,1
Banaras Hindu University,MA English,Arts,Political Science,6,7.1,Job,Distance,Government,Semi-Urban,Regional,1
Thapar University,MA English,Arts,English,2,8.33,Job,Distance,Private,Semi-Urban,Hindi,0
IIT Kanpur,B.Tech Computer Science,Engineering,Electrical,4,5.27,Research,Distance,Deemed,Semi-Urban,English,0
Madras University,BA Psychology,Arts,Political Science,5,8.29,Research,Online,Government,Urban,Regional,2
Teerthanker Mahaveer University (TMU),MCA,IT,Data Science,6,6.77,Teaching,Online,Private,Urban,Hindi,0
Banaras Hindu University,B.Tech Civil,Engineering,Mechanical,8,9.63,Job,Distance,Private,Rural,Regional,1
University of Oxford,B.Arch,General,General Studies,1,9.24,Job,Distance,Government,Rural,Hindi,0
Patna University,B.Tech Electronics,Engineering,Electrical,8,7.0,Teaching,Regular,Government,Semi-Urban,English,1
KIIT Bhubaneswar,BA Psychology,Arts,Political Science,2,9.96,Job,Regular,Deemed,Rural,Hindi,1
DIT University,MA English,Arts,History,3,5.26,Research,Regular,Government,Semi-Urban,Hindi,0
PES University,Animation & VFX,Design,UI/UX,7,8.94,Job,Regular,Private,Urban,English,2
BITS Pilani,Hotel Management,Management,Finance,6,7.17,Research,Distance,Government,Semi-Urban,Regional,0
Galgotias University,MA English,Arts,History,1,7.17,Job,Online,Private,Semi-Urban,Regional,1
Shiv Nadar University,M.Com,Commerce,Banking,4,5.85,Teaching,Online,Private,Semi-Urban,English,0
Stanford University,M.Com,Commerce,Accounting,6,7.57,Research,Regular,Government,Semi-Urban,English,1
Symbiosis International University,BCA,IT,AI,5,5.42,Research,Online,Private,Rural,Regional,0
Amrita University,MBA HR,Management,Finance,4,8.08,Teaching,Regular,Private,Semi-Urban,English,1
Shiv Nadar University,B.Arch,General,General Studies,4,6.21,Research,Distance,Deemed,Urban,Regional,0
IIT Delhi,Cyber Security Specialization,General,General Studies,6,8.62,Teaching,Regular,Private,Semi-Urban,English,2
Jadavpur University,LLM,General,General Studies,8,8.04,Job,Online,Deemed,Urban,English,1
Amrita University,M.Com,Commerce,Accounting,3,8.73,Teaching,Online,Deemed,Rural,English,1
Shiv Nadar University,B.Ed,Education,Teaching,3,8.75,Job,Online,Deemed,Semi-Urban,English,0
IIT Roorkee,M.Com,Commerce,Banking,8,5.98,Research,Distance,Deemed,Urban,English,1
Chandigarh University,MBA Finance,Management,HR,6,5.0,Research,Regular,Private,Semi-Urban,English,0
Sharda University,BA English,Arts,History,8,6.83,Teaching,Distance,Private,Semi-Urban,Regional,0
PES University,B.Pharma,Medical,General Medicine,6,9.6,Job,Distance,Government,Rural,English,1
PES University,B.Arch,General,General Studies,6,7.89,Teaching,Regular,Deemed,Urban,Hindi,1
Stanford University,MBA Marketing,Management,Marketing,7,8.64,Research,Online,Private,Urban,Regional,1
Christ University,MCA,IT,AI,7,9.4,Research,Online,Deemed,Urban,Hindi,1
University of Cambridge,B.Tech Electronics,Engineering,Civil,5,9.53,Job,Online,Deemed,Semi-Urban,English,1
IIT Indore,MBA Finance,Management,Finance,2,7.65,Job,Online,Government,Rural,Regional,1
IIT Bombay,B.Tech Civil,Engineering,Civil,4,7.7,Research,Distance,Deemed,Semi-Urban,Hindi,1
IFTM University,Hotel Management,Management,Finance,6,9.25,Research,Regular,Private,Rural,English,2
Aligarh Muslim University,LLM,General,General Studies,7,9.04,Job,Regular,Private,Rural,Regional,2
Amity University,B.Sc Data Science,IT,Software,2,8.49,Teaching,Regular,Private,Urban,English,1
University of Mumbai,MA English,Arts,English,5,8.02,Teaching,Distance,Private,Rural,Hindi,0
Jadavpur University,B.Ed,Education,Teaching,4,8.09,Job,Online,Deemed,Urban,Regional,0
MIT Manipal,B.Pharma,Medical,General Medicine,2,6.81,Job,Online,Private,Semi-Urban,Regional,0
Ashoka University,BA English,Arts,History,4,9.2,Job,Regular,Government,Semi-Urban,Regional,1
Osmania University,Mass Communication,Commerce,Banking,8,8.09,Research,Online,Deemed,Rural,Regional,0
BIT Mesra,B.Tech Civil,Engineering,Civil,3,6.12,Teaching,Distance,Private,Urban,Regional,0
Shiv Nadar University,B.Tech Electronics,Engineering,Computer Science,6,6.2,Job,Online,Private,Urban,Hindi,0
Graphic Era University,MBA HR,Management,HR,8,9.31,Teaching,Online,Government,Semi-Urban,Regional,1
VIT Vellore,B.Tech Civil,Engineering,Mechanical,3,8.13,Research,Online,Deemed,Rural,Regional,0
Lucknow University,B.Des UI/UX,General,General Studies,1,6.99,Research,Regular,Government,Urban,English,1
Sharda University,PhD Research,Research,Interdisciplinary,5,5.94,Job,Distance,Government,Urban,Regional,0
Teerthanker Mahaveer University (TMU),B.Des UI/UX,General,General Studies,6,8.05,Job,Regular,Private,Rural,Hindi,1
Anna University,B.Pharma,Medical,Dentistry,8,5.92,Job,Distance,Private,Semi-Urban,Hindi,2
Anna University,M.Sc Data Science,IT,Data Science,2,7.35,Job,Regular,Government,Urban,Hindi,1
IIT Delhi,B.Arch,General,General Studies,4,8.39,Teaching,Distance,Deemed,Urban,English,1
OP Jindal Global University,MBA Marketing,Management,Finance,7,7.83,Job,Distance,Deemed,Rural,Regional,1
Thapar University,M.Com,Commerce,Banking,1,9.61,Teaching,Regular,Deemed,Rural,Hindi,1
IIT Kharagpur,Mass Communication,Commerce,Banking,5,5.2,Research,Regular,Government,Urban,Regional,0
LPU Phagwara,LLM,General,General Studies,5,6.4,Research,Online,Deemed,Urban,Hindi,0
IFTM University,BA English,Arts,English,5,5.29,Teaching,Distance,Private,Rural,Hindi,1
Galgotias University,B.Des UI/UX,General,General Studies,2,5.97,Teaching,Distance,Government,Rural,Hindi,0
Christ University,B.Sc Data Science,IT,AI,8,5.62,Job,Distance,Government,Urban,English,0
University of Oxford,B.Tech Mechanical,Engineering,Electrical,6,8.66,Job,Distance,Government,Rural,Regional,1
University of Cambridge,Cyber Security Specialization,General,General Studies,3,6.85,Job,Distance,Deemed,Urban,Regional,0
UPES Dehradun,LLM,General,General Studies,1,9.63,Research,Online,Deemed,Rural,Regional,1
Anna University,MBA Marketing,Management,Finance,8,5.12,Teaching,Online,Private,Urban,Regional,0
Manipal Institute of Technology,MCA,IT,AI,2,8.26,Teaching,Online,Deemed,Urban,Hindi,0
Chandigarh University,B.Tech Computer Science,Engineering,Civil,4,9.85,Teaching,Distance,Deemed,Rural,Regional,0
Allahabad University,BA English,Arts,English,2,5.88,Teaching,Regular,Deemed,Semi-Urban,English,0
Banaras Hindu University,MBA Finance,Management,HR,4,7.21,Job,Regular,Deemed,Urban,English,1
IIT Delhi,B.Tech Electrical,Engineering,Civil,4,8.51,Job,Distance,Private,Semi-Urban,English,0
Chandigarh University,MBA Marketing,Management,Marketing,5,8.17,Teaching,Online,Private,Semi-Urban,Regional,0
IIT Roorkee,Animation & VFX,Design,UI/UX,2,7.83,Job,Regular,Private,Rural,English,1
Jamia Millia Islamia,BCA,IT,Data Science,3,6.63,Research,Regular,Deemed,Urban,Hindi,0
Harvard University,B.Des UI/UX,General,General Studies,4,8.64,Job,Online,Deemed,Semi-Urban,English,1
Allahabad University,M.Des Interaction,General,General Studies,7,8.27,Research,Distance,Government,Urban,Regional,1
Massachusetts Institute of Technology (MIT USA),B.Tech Electronics,Engineering,Electrical,5,5.81,Research,Distance,Government,Urban,Hindi,0
Madras University,B.Tech Electronics,Engineering,Electrical,3,9.82,Teaching,Distance,Deemed,Semi-Urban,English,1
IIT Delhi,BA English,Arts,History,8,7.78,Teaching,Distance,Government,Semi-Urban,Regional,1
Ashoka University,PhD Research,Research,Interdisciplinary,8,7.63,Job,Distance,Private,Urban,Regional,1
Thapar University,B.Sc Data Science,IT,Data Science,8,9.24,Teaching,Regular,Private,Semi-Urban,Regional,1
IIT Kharagpur,M.Tech AI,Engineering,Computer Science,2,8.2,Research,Online,Private,Semi-Urban,Hindi,1
IIT Madras,B.Arch,General,General Studies,3,5.37,Research,Regular,Government,Urban,Regional,0
Amity University,BA Psychology,Arts,Political Science,2,7.53,Job,Regular,Private,Semi-Urban,English,1
IIT Indore,M.Com,Commerce,Banking,4,8.9,Research,Regular,Private,Semi-Urban,English,2
Manipal Institute of Technology,LLB,Law,Criminal Law,8,8.5,Teaching,Online,Private,Urban,English,1
Shiv Nadar University,B.Tech Mechanical,Engineering,Civil,1,9.85,Job,Regular,Deemed,Semi-Urban,Regional,1
IFTM University,M.Sc Data Science,IT,Software,1,5.12,Job,Regular,Deemed,Rural,Regional,0
Lucknow University,M.Com,Commerce,Banking,8,6.31,Job,Distance,Private,Urban,English,2
UPES Dehradun,B.Com,Commerce,Banking,6,7.75,Teaching,Online,Private,Rural,Hindi,0
SRM University,MBA Marketing,Management,HR,6,8.1,Research,Distance,Deemed,Urban,Hindi,1
IIT BHU,MBA Marketing,Management,Marketing,4,6.37,Teaching,Distance,Deemed,Rural,Hindi,2
IIT Hyderabad,Cyber Security Specialization,General,General Studies,3,9.13,Job,Regular,Government,Rural,Hindi,1
IIT Bombay,MCA,IT,Software,2,5.82,Research,Distance,Deemed,Semi-Urban,Regional,2
Christ University,MA English,Arts,Political Science,8,5.0,Job,Regular,Private,Urban,Hindi,1
Anna University,MBBS,Medical,Dentistry,1,9.76,Teaching,Distance,Deemed,Urban,English,1
University of Hyderabad,M.Sc Data Science,IT,Data Science,8,6.96,Job,Online,Private,Semi-Urban,Regional,1
IIT Hyderabad,Animation & VFX,Design,Product Design,2,9.79,Teaching,Online,Government,Semi-Urban,Regional,1
Rajasthan University,Hotel Management,Management,HR,4,6.39,Job,Distance,Deemed,Rural,English,0
IIT Hyderabad,B.Ed,Education,Teaching,3,5.32,Job,Regular,Government,Urban,English,1
IIT Indore,B.Tech Electronics,Engineering,Mechanical,7,8.86,Job,Regular,Private,Semi-Urban,Hindi,1
VIT Vellore,MBA Marketing,Management,HR,2,9.18,Teaching,Regular,Private,Semi-Urban,Regional,1
Galgotias University,B.Tech Computer Science,Engineering,Computer Science,8,7.46,Teaching,Distance,Private,Rural,Hindi,0
IIT Madras,B.Des UI/UX,General,General Studies,3,5.37,Teaching,Regular,Private,Rural,Hindi,0
IIT Kharagpur,B.Tech Civil,Engineering,Computer Science,7,8.27,Teaching,Distance,Government,Semi-Urban,Regional,2
Banaras Hindu University,B.Tech Civil,Engineering,Electrical,1,5.91,Teaching,Online,Deemed,Rural,English,0
BIT Mesra,BCA,IT,Software,2,9.25,Research,Regular,Deemed,Urban,Regional,0
Bennett University,B.Com,Commerce,Accounting,5,6.37,Job,Distance,Private,Rural,English,0
IIT Indore,B.Tech Civil,Engineering,Mechanical,1,9.24,Teaching,Regular,Private,Urban,English,2
IIT Madras,B.Ed,Education,Teaching,3,7.13,Research,Distance,Government,Semi-Urban,Hindi,1
Massachusetts Institute of Technology (MIT USA),PhD Research,Research,Interdisciplinary,4,7.98,Research,Regular,Government,Semi-Urban,Hindi,0
Christ University,MA English,Arts,English,5,8.95,Job,Online,Private,Rural,Hindi,0
Banaras Hindu University,BBA,Management,Finance,6,5.2,Job,Distance,Private,Semi-Urban,Regional,0
Madras University,B.Tech Computer Science,Engineering,Mechanical,2,9.11,Job,Distance,Deemed,Rural,Regional,1
Massachusetts Institute of Technology (MIT USA),B.Ed,Education,Teaching,8,5.69,Teaching,Online,Deemed,Rural,English,0
Bennett University,M.Sc Data Science,IT,AI,6,6.79,Job,Online,Deemed,Rural,English,1
Thapar University,Nursing,General,General Studies,1,7.36,Job,Regular,Private,Rural,Regional,0
UPES Dehradun,Animation & VFX,Design,UI/UX,8,9.48,Job,Distance,Government,Urban,Regional,1
Thapar University,BA Psychology,Arts,History,2,5.11,Research,Distance,Government,Urban,English,0
IIT Indore,B.Tech Civil,Engineering,Civil,2,7.8,Teaching,Regular,Government,Semi-Urban,English,0
Thapar University,B.Com,Commerce,Banking,5,8.21,Job,Regular,Private,Rural,Regional,0
DIT University,Hotel Management,Management,HR,5,6.58,Research,Distance,Private,Semi-Urban,Hindi,0
DIT University,MBBS,Medical,Dentistry,5,6.45,Teaching,Online,Government,Rural,Regional,0
Manipal Institute of Technology,M.Com,Commerce,Banking,5,7.45,Job,Regular,Government,Semi-Urban,Hindi,0
Teerthanker Mahaveer University (TMU),Hotel Management,Management,HR,4,5.94,Research,Distance,Government,Urban,Hindi,0
Manipal Institute of Technology,MA Psychology,Arts,English,8,7.34,Teaching,Regular,Private,Semi-Urban,Regional,1
Madras University,MBA Marketing,Management,Finance,8,8.83,Job,Online,Deemed,Rural,English,2
UPES Dehradun,Hotel Management,Management,HR,3,9.23,Job,Distance,Deemed,Rural,Hindi,0
Jadavpur University,B.Tech Electronics,Engineering,Electrical,5,6.93,Research,Distance,Private,Semi-Urban,Regional,1
IIT Roorkee,MBA HR,Management,Marketing,1,8.09,Job,Distance,Deemed,Semi-Urban,Hindi,1
Teerthanker Mahaveer University (TMU),B.Pharma,Medical,Dentistry,8,5.0,Research,Online,Government,Rural,Hindi,0
Harvard University,B.Des UI/UX,General,General Studies,2,7.75,Research,Regular,Deemed,Semi-Urban,English,1
University of Cambridge,MBA HR,Management,Marketing,6,9.88,Research,Online,Government,Urban,Hindi,1
Banaras Hindu University,B.Tech Electrical,Engineering,Civil,5,6.56,Teaching,Online,Private,Rural,Regional,0
KIIT Bhubaneswar,BA Psychology,Arts,English,1,7.97,Research,Online,Private,Rural,Hindi,0
Anna University,B.Tech Electrical,Engineering,Computer Science,4,8.81,Teaching,Distance,Government,Urban,Regional,1
IIT Delhi,PhD Research,Research,Interdisciplinary,1,8.04,Job,Online,Government,Semi-Urban,Hindi,1
IIT Guwahati,BA Psychology,Arts,History,6,7.09,Teaching,Distance,Deemed,Urban,English,1
Thapar University,Animation & VFX,Design,UI/UX,6,5.76,Research,Distance,Government,Rural,English,0
Banaras Hindu University,Animation & VFX,Design,Product Design,1,7.32,Job,Regular,Private,Urban,Hindi,0
Osmania University,B.Sc Data Science,IT,AI,4,6.47,Research,Regular,Private,Semi-Urban,English,1
Rajasthan University,MBA Marketing,Management,Marketing,8,8.48,Research,Online,Deemed,Semi-Urban,Hindi,1
IIT Madras,MBA HR,Management,HR,6,7.21,Job,Distance,Government,Rural,Hindi,1
OP Jindal Global University,M.Sc Data Science,IT,AI,4,9.25,Research,Distance,Government,Rural,English,1
Ashoka University,Animation & VFX,Design,UI/UX,2,5.97,Teaching,Regular,Deemed,Urban,English,0
IIT Roorkee,B.Des UI/UX,General,General Studies,5,7.09,Job,Distance,Private,Semi-Urban,Hindi,0
Thapar University,B.Pharma,Medical,Dentistry,6,7.79,Job,Online,Government,Urban,Regional,0
Symbiosis International University,M.Tech AI,Engineering,Mechanical,1,5.63,Job,Distance,Deemed,Rural,Regional,0
Harvard University,MBBS,Medical,General Medicine,8,7.94,Research,Online,Deemed,Urban,English,1
IIT Kharagpur,B.Tech Mechanical,Engineering,Mechanical,3,6.45,Research,Regular,Deemed,Semi-Urban,English,1
MIT Manipal,MBA Marketing,Management,Finance,3,6.15,Job,Regular,Deemed,Rural,Regional,0
DIT University,BA Psychology,Arts,History,7,5.71,Teaching,Distance,Government,Urban,Regional,2
PES University,B.Tech Computer Science,Engineering,Civil,2,6.75,Research,Distance,Deemed,Urban,Hindi,0
Anna University,Cyber Security Specialization,General,General Studies,3,9.64,Research,Regular,Government,Semi-Urban,English,2
IIT Indore,LLM,General,General Studies,2,5.16,Research,Online,Private,Semi-Urban,Hindi,0
Sharda University,B.Ed,Education,Teaching,8,9.26,Teaching,Online,Deemed,Urban,Hindi,1
Banaras Hindu University,B.Tech Mechanical,Engineering,Computer Science,5,6.99,Research,Online,Deemed,Semi-Urban,Regional,0
Symbiosis International University,BBA,Management,HR,7,7.81,Research,Regular,Private,Rural,Hindi,1
KIIT Bhubaneswar,BA English,Arts,History,2,7.56,Teaching,Regular,Deemed,Urban,English,1
Patna University,MCA,IT,Software,4,9.63,Teaching,Regular,Government,Urban,English,1
Harvard University,LLM,General,General Studies,4,8.85,Research,Distance,Private,Rural,English,2
Bennett University,B.Tech Electrical,Engineering,Civil,7,9.92,Job,Regular,Private,Semi-Urban,Hindi,1
Amrita University,BBA,Management,Finance,8,8.97,Job,Online,Government,Rural,Hindi,1
Allahabad University,MCA,IT,Software,8,6.48,Teaching,Online,Government,Rural,English,1
KIIT Bhubaneswar,B.Sc Data Science,IT,Software,4,9.81,Research,Regular,Private,Urban,Regional,1
Rajasthan University,MBBS,Medical,Dentistry,6,9.92,Teaching,Regular,Deemed,Rural,Regional,1
Massachusetts Institute of Technology (MIT USA),B.Tech Mechanical,Engineering,Mechanical,4,5.62,Teaching,Online,Government,Semi-Urban,English,0
Chandigarh University,M.Com,Commerce,Banking,4,9.51,Job,Regular,Government,Urban,Hindi,1
SRM University,Animation & VFX,Design,UI/UX,8,8.32,Teaching,Distance,Government,Semi-Urban,Hindi,0
Manipal Institute of Technology,M.Tech AI,Engineering,Computer Science,4,9.61,Teaching,Regular,Private,Rural,Hindi,1
UPES Dehradun,LLB,Law,Criminal Law,4,9.58,Research,Online,Deemed,Rural,Hindi,1
Bennett University,MBBS,Medical,General Medicine,6,9.46,Research,Online,Government,Semi-Urban,English,1
KIIT Bhubaneswar,BA Psychology,Arts,English,4,9.43,Teaching,Regular,Private,Urban,Hindi,1
Lucknow University,Nursing,General,General Studies,4,5.59,Teaching,Online,Private,Rural,English,0
Teerthanker Mahaveer University (TMU),MCA,IT,Data Science,5,5.72,Research,Regular,Deemed,Rural,English,0
LPU Phagwara,MBA HR,Management,HR,8,5.59,Job,Online,Private,Rural,Hindi,0
Banaras Hindu University,M.Des Interaction,General,General Studies,8,5.46,Research,Online,Private,Urban,Regional,0
Lucknow University,MBBS,Medical,General Medicine,6,6.77,Research,Online,Government,Urban,Hindi,0
IFTM University,Animation & VFX,Design,UI/UX,4,8.42,Research,Regular,Government,Rural,Regional,1
RV College of Engineering,Cyber Security Specialization,General,General Studies,2,6.77,Research,Regular,Government,Urban,Regional,0
University of Hyderabad,B.Tech Mechanical,Engineering,Computer Science,7,8.6,Research,Regular,Private,Semi-Urban,English,2
KIIT Bhubaneswar,B.Arch,General,General Studies,8,9.1,Job,Distance,Deemed,Rural,Regional,0
Sharda University,B.Tech Mechanical,Engineering,Computer Science,5,8.33,Research,Distance,Deemed,Semi-Urban,Regional,0
University of Oxford,B.Tech Computer Science,Engineering,Civil,6,7.33,Research,Distance,Deemed,Urban,English,1
OP Jindal Global University,MBA Finance,Management,Marketing,3,6.48,Job,Online,Private,Urban,Hindi,2
BIT Mesra,B.Sc Data Science,IT,Data Science,1,5.62,Teaching,Online,Government,Semi-Urban,Regional,0
KIIT Bhubaneswar,Nursing,General,General Studies,6,7.47,Job,Regular,Private,Urban,Hindi,1
University of Mumbai,Hotel Management,Management,HR,7,8.6,Research,Online,Government,Rural,English,2
IIT Madras,LLM,General,General Studies,5,7.74,Teaching,Distance,Private,Semi-Urban,Regional,1
OP Jindal Global University,B.Arch,General,General Studies,4,8.61,Job,Distance,Private,Semi-Urban,English,1
BIT Mesra,MA English,Arts,Political Science,5,6.68,Teaching,Regular,Deemed,Rural,English,1
Rajasthan University,M.Tech AI,Engineering,Electrical,1,5.33,Job,Online,Private,Urban,English,0
BITS Pilani,MA English,Arts,History,1,8.86,Job,Online,Deemed,Semi-Urban,Regional,0
LPU Phagwara,M.Com,Commerce,Accounting,6,6.1,Teaching,Distance,Private,Semi-Urban,English,0
IIT Kharagpur,B.Com,Commerce,Accounting,4,8.08,Teaching,Regular,Deemed,Rural,Hindi,0
UPES Dehradun,MCA,IT,Data Science,4,9.02,Teaching,Distance,Private,Urban,English,1
Pune University,MBA Marketing,Management,Marketing,2,5.7,Teaching,Online,Private,Semi-Urban,Regional,0
UPES Dehradun,BCA,IT,Data Science,1,7.99,Research,Distance,Government,Urban,Regional,0
Amrita University,BA English,Arts,English,4,8.45,Job,Distance,Government,Semi-Urban,Regional,0
IIT Madras,Cyber Security Specialization,General,General Studies,1,8.73,Research,Online,Government,Urban,Hindi,1
OP Jindal Global University,LLM,General,General Studies,8,5.74,Job,Online,Private,Semi-Urban,Regional,0
OP Jindal Global University,MBA Marketing,Management,HR,2,9.13,Research,Online,Government,Urban,Hindi,1
Osmania University,B.Des UI/UX,General,General Studies,3,5.47,Research,Distance,Government,Urban,English,0
Bennett University,B.Ed,Education,Teaching,1,7.6,Job,Distance,Private,Semi-Urban,Hindi,2
IIT Hyderabad,LLM,General,General Studies,8,7.22,Research,Distance,Private,Urban,English,1
VIT Vellore,B.Tech Computer Science,Engineering,Civil,8,6.11,Teaching,Regular,Government,Urban,English,2
KIIT Bhubaneswar,B.Ed,Education,Teaching,8,6.51,Teaching,Regular,Government,Rural,English,1
Aligarh Muslim University,B.Tech Electronics,Engineering,Mechanical,2,5.82,Research,Online,Private,Rural,Regional,0
Jamia Millia Islamia,M.Sc Data Science,IT,Data Science,2,7.13,Research,Regular,Private,Rural,Hindi,1
Osmania University,BA Psychology,Arts,History,7,5.18,Job,Online,Deemed,Rural,Regional,0
BIT Mesra,BCA,IT,Software,2,9.44,Job,Distance,Deemed,Urban,Regional,1
UPES Dehradun,MBA Marketing,Management,Marketing,5,5.82,Research,Online,Private,Semi-Urban,Hindi,0
Amity University,M.Sc Data Science,IT,AI,6,9.43,Job,Distance,Private,Semi-Urban,English,1
DIT University,B.Tech Mechanical,Engineering,Computer Science,4,9.32,Teaching,Online,Government,Rural,Hindi,0
IIT Indore,M.Tech AI,Engineering,Mechanical,1,7.26,Teaching,Regular,Deemed,Semi-Urban,Regional,1
Punjab University,MCA,IT,Software,6,7.49,Teaching,Distance,Government,Semi-Urban,Hindi,1
BIT Mesra,B.Arch,General,General Studies,5,6.51,Job,Distance,Deemed,Urban,English,1
Allahabad University,BCA,IT,AI,1,9.98,Job,Distance,Government,Urban,Regional,1
Moradabad Institute of Technology (MIT),B.Des UI/UX,General,General Studies,6,8.35,Job,Regular,Deemed,Semi-Urban,Hindi,0
IIT Kanpur,BA Psychology,Arts,History,5,9.76,Job,Regular,Private,Urban,English,2
MIT Manipal,LLM,General,General Studies,8,7.07,Research,Regular,Private,Rural,Regional,1
IIT Madras,MBA Marketing,Management,HR,4,9.42,Research,Distance,Private,Rural,Regional,1
Calcutta University,LLB,Law,Corporate Law,2,7.24,Research,Online,Government,Semi-Urban,English,1
SRM University,B.Tech Computer Science,Engineering,Electrical,6,9.33,Research,Online,Deemed,Semi-Urban,Hindi,1
University of Hyderabad,BA Psychology,Arts,Political Science,8,5.65,Teaching,Regular,Government,Rural,English,1
Anna University,Hotel Management,Management,Finance,6,8.18,Job,Online,Private,Semi-Urban,Regional,1
Symbiosis International University,B.Tech Electrical,Engineering,Civil,8,8.39,Teaching,Distance,Deemed,Semi-Urban,English,1
Graphic Era University,B.Tech Civil,Engineering,Mechanical,1,8.28,Job,Distance,Deemed,Urban,Regional,2
IIT Kharagpur,B.Pharma,Medical,General Medicine,2,7.24,Research,Regular,Government,Urban,English,1
Galgotias University,Nursing,General,General Studies,7,8.42,Teaching,Regular,Private,Rural,Hindi,1
Osmania University,M.Tech AI,Engineering,Computer Science,4,6.2,Job,Online,Government,Rural,English,0
Madras University,M.Tech AI,Engineering,Electrical,8,7.98,Research,Online,Government,Rural,Regional,1
IIT Delhi,B.Des UI/UX,General,General Studies,1,7.77,Job,Online,Private,Rural,Hindi,1
KIIT Bhubaneswar,Hotel Management,Management,Marketing,3,6.59,Job,Regular,Private,Rural,Regional,0
IIT Roorkee,M.Com,Commerce,Banking,3,8.89,Research,Regular,Government,Urban,Hindi,2
IIT Guwahati,M.Des Interaction,General,General Studies,3,5.4,Teaching,Regular,Deemed,Semi-Urban,Regional,0
MIT Manipal,B.Tech Electronics,Engineering,Mechanical,4,5.86,Job,Distance,Private,Rural,Regional,0
Galgotias University,MBA Marketing,Management,HR,8,7.36,Research,Online,Private,Rural,Regional,0
Allahabad University,MBA Finance,Management,Marketing,3,9.46,Job,Regular,Private,Urban,Hindi,1
Graphic Era University,B.Tech Electronics,Engineering,Mechanical,6,7.88,Job,Regular,Private,Urban,Regional,1
Delhi University,Animation & VFX,Design,UI/UX,7,9.21,Job,Regular,Deemed,Urban,English,2
IIT Guwahati,Nursing,General,General Studies,1,7.59,Teaching,Online,Deemed,Urban,Regional,0
Symbiosis International University,Nursing,General,General Studies,7,8.93,Teaching,Online,Government,Semi-Urban,Regional,1
Delhi University,PhD Research,Research,Interdisciplinary,7,6.63,Teaching,Distance,Government,Semi-Urban,Hindi,0
SRM University,MA English,Arts,History,7,9.08,Teaching,Distance,Private,Urban,Regional,1
Galgotias University,B.Pharma,Medical,Dentistry,6,7.01,Research,Distance,Government,Urban,Regional,0
IIT BHU,MBBS,Medical,Dentistry,3,7.79,Teaching,Distance,Deemed,Rural,Regional,1
IIT Kanpur,MA English,Arts,English,7,5.88,Job,Regular,Private,Semi-Urban,Regional,1
Amrita University,Hotel Management,Management,Finance,8,9.6,Research,Distance,Private,Rural,Regional,1
University of Cambridge,B.Arch,General,General Studies,7,8.51,Job,Regular,Private,Urban,English,2
LPU Phagwara,Animation & VFX,Design,Product Design,1,9.29,Teaching,Regular,Government,Rural,English,1
Moradabad Institute of Technology (MIT),B.Tech Mechanical,Engineering,Electrical,8,6.04,Job,Online,Private,Urban,Hindi,0
IIT Kanpur,Hotel Management,Management,Finance,6,5.34,Job,Regular,Private,Semi-Urban,Hindi,1
LPU Phagwara,Cyber Security Specialization,General,General Studies,4,6.69,Job,Online,Deemed,Rural,English,0
Calcutta University,MA English,Arts,Political Science,2,7.58,Job,Distance,Private,Rural,Hindi,0
IIT Roorkee,BA English,Arts,English,6,9.01,Teaching,Distance,Government,Rural,English,2
Amrita University,Mass Communication,Commerce,Banking,5,6.99,Job,Online,Private,Semi-Urban,English,0
Aligarh Muslim University,BCA,IT,AI,3,6.35,Job,Online,Government,Semi-Urban,Hindi,0
Delhi University,PhD Research,Research,Interdisciplinary,5,6.86,Job,Distance,Deemed,Rural,Hindi,0
Galgotias University,MBA Finance,Management,HR,8,8.52,Job,Regular,Deemed,Rural,Regional,1
Lucknow University,BBA,Management,Finance,2,6.68,Teaching,Regular,Private,Rural,English,1
Calcutta University,B.Tech Electrical,Engineering,Mechanical,4,9.9,Job,Online,Deemed,Urban,English,1
IFTM University,B.Arch,General,General Studies,6,5.87,Research,Regular,Private,Urban,English,0
IIT BHU,Cyber Security Specialization,General,General Studies,4,8.77,Research,Regular,Deemed,Urban,Hindi,2
IIT Madras,MA Psychology,Arts,History,2,7.95,Job,Distance,Deemed,Semi-Urban,English,1
Patna University,Animation & VFX,Design,Product Design,5,6.17,Job,Online,Government,Rural,English,0
Christ University,B.Tech Electrical,Engineering,Electrical,6,8.77,Teaching,Distance,Government,Urban,Hindi,2
IISc Bangalore,B.Tech Computer Science,Engineering,Mechanical,3,7.24,Research,Regular,Private,Rural,English,1
Allahabad University,B.Tech Civil,Engineering,Civil,1,8.41,Teaching,Regular,Private,Semi-Urban,English,1
University of Mumbai,LLM,General,General Studies,7,8.31,Job,Distance,Government,Urban,Regional,1
Jadavpur University,BA English,Arts,History,4,5.55,Research,Regular,Deemed,Rural,Regional,0
IIT Madras,MBA HR,Management,Finance,8,9.2,Research,Regular,Private,Semi-Urban,Regional,2
IIT Indore,MBA Marketing,Management,Finance,2,8.41,Teaching,Distance,Deemed,Semi-Urban,English,1
Stanford University,B.Tech Mechanical,Engineering,Electrical,6,8.9,Job,Regular,Government,Urban,Regional,1
