Work_Hours_Per_Day,Workload_Level,Deadline_Pressure,Stress_Level,Fatigue_Level,Sleep_Hours,Exercise_Frequency,Work_Life_Balance,burnout_risk
8.9,Medium,Low,Medium,High,7.9,Regular,Average,0
13.8,Medium,High,Medium,High,8.2,Occasional,Poor,1
9.6,Medium,Medium,High,Medium,7.3,None,Good,1
13.6,Low,Medium,Medium,Low,4.6,None,Good,1
10.3,High,Low,Medium,Medium,3.4,None,Poor,2
6.4,Medium,Low,Low,Medium,4.9,Regular,Good,0
6.8,Low,Low,Medium,Medium,5.5,Regular,Good,0
9.8,High,Medium,Low,Medium,3.3,None,Average,1
7.0,Medium,High,Low,High,6.3,Regular,Average,1
13.4,Low,Low,Medium,Low,3.7,None,Good,1
12.3,Medium,Medium,Low,High,5.1,None,Good,1
7.9,Medium,High,High,Medium,6.2,Occasional,Poor,2
11.4,High,Low,Low,High,5.7,Occasional,Average,1
7.4,Medium,Medium,High,Low,6.6,None,Poor,2
13.5,Medium,Medium,Low,Medium,8.6,Regular,Average,0
11.0,Low,High,Low,Medium,3.7,Regular,Good,1
7.7,Medium,Low,Medium,High,8.0,Occasional,Poor,1
6.6,High,Low,Low,High,5.7,Regular,Poor,2
9.4,Low,Low,Low,Medium,7.1,Occasional,Poor,1
11.4,High,High,Low,High,6.4,Occasional,Good,2
10.4,Medium,High,Low,High,6.2,None,Good,2
7.1,Medium,High,High,Low,6.3,Regular,Poor,2
6.6,High,Medium,Low,Medium,3.7,None,Poor,2
13.9,Medium,Low,Low,High,3.4,None,Poor,2
8.1,Low,High,High,High,8.6,Occasional,Poor,2
11.5,High,Low,Low,Medium,8.9,None,Average,0
11.5,Low,Medium,High,Medium,8.6,Occasional,Average,1
11.1,Low,High,Low,High,8.3,Occasional,Poor,1
7.9,Low,High,Low,High,6.2,None,Good,1
5.5,High,Medium,High,High,7.5,Occasional,Average,1
11.2,Medium,Low,Low,Low,3.2,Regular,Good,0
10.4,Low,High,High,High,5.7,Regular,Good,1
9.9,Low,High,High,High,3.4,None,Good,2
10.3,Low,Medium,High,Low,4.6,Regular,Good,1
8.3,Low,Low,Low,Low,5.2,Occasional,Poor,0
8.1,Low,High,Low,Medium,6.6,Regular,Poor,1
12.7,Medium,Medium,Low,Medium,7.1,None,Good,0
7.4,Medium,Low,Medium,High,8.2,None,Average,1
6.9,Medium,Low,High,Low,4.4,None,Good,1
8.5,Low,High,Low,Low,3.1,Regular,Poor,1
11.3,Medium,High,High,Medium,5.2,Occasional,Average,1
5.3,Medium,High,Medium,Low,8.4,Regular,Good,0
12.9,Low,High,Medium,Low,5.2,Regular,Poor,1
9.2,High,Low,High,Medium,4.3,None,Good,2
6.6,Low,High,Low,Low,4.3,Regular,Average,1
6.9,High,High,High,Medium,8.5,None,Good,2
6.1,Medium,Medium,High,Medium,8.5,Occasional,Good,0
9.6,Low,Low,Low,Low,6.3,None,Poor,1
7.2,Low,Medium,High,Medium,5.3,Occasional,Good,0
14.0,Low,Medium,Low,Medium,8.1,None,Poor,1
11.7,High,Low,Low,High,5.2,Occasional,Average,1
12.4,Medium,Low,High,High,3.7,Regular,Poor,2
11.3,Medium,Low,Low,High,8.8,None,Average,0
7.9,Medium,Medium,High,Low,7.6,Occasional,Good,0
6.4,Low,High,Medium,High,3.7,Occasional,Average,1
11.8,Low,Low,Medium,Medium,6.2,None,Poor,1
12.4,Medium,Low,Medium,High,3.2,Regular,Average,1
6.0,Low,Medium,Low,High,3.7,None,Average,1
9.6,Low,High,High,High,8.1,None,Good,2
7.3,Medium,Medium,High,High,8.5,Occasional,Poor,1
5.4,High,High,Medium,Low,8.2,Occasional,Good,1
6.7,High,High,High,High,7.4,None,Average,2
7.2,High,Medium,Medium,High,3.6,Occasional,Poor,2
13.6,High,High,High,High,4.7,Occasional,Average,2
6.7,Low,High,Low,Low,5.8,Occasional,Poor,1
13.7,Low,High,High,High,8.6,Occasional,Poor,2
6.9,High,Low,High,High,8.6,None,Good,2
6.0,High,Low,Low,High,4.4,Regular,Good,1
12.1,High,Medium,Medium,Low,4.1,Occasional,Poor,1
9.9,Medium,High,Medium,Medium,6.9,Occasional,Average,1
10.7,Low,Medium,Low,Low,3.6,None,Good,1
12.0,Low,High,Medium,Low,5.0,Regular,Good,0
8.3,High,High,Low,Low,9.0,None,Good,1
13.0,High,Low,High,Medium,7.8,Occasional,Good,1
4.3,High,Medium,Low,Medium,8.9,None,Poor,2
11.0,High,Low,Medium,Low,7.6,Regular,Good,0
13.7,High,Low,High,Medium,7.3,Occasional,Poor,2
9.7,High,High,Medium,Medium,4.4,Regular,Poor,2
12.8,High,Low,Low,High,7.7,None,Poor,2
12.3,High,Low,Medium,High,3.9,None,Poor,2
13.6,High,Low,Medium,Low,3.8,None,Average,1
13.7,High,Low,Medium,High,8.6,None,Average,1
10.9,Low,High,Medium,High,8.7,Occasional,Average,1
11.2,Medium,Medium,High,Low,8.8,Occasional,Average,0
13.9,Low,Medium,Low,High,5.0,Regular,Poor,1
10.5,Medium,Low,High,Medium,7.1,Regular,Good,1
13.5,Low,Low,Low,Medium,5.6,Occasional,Good,0
12.3,High,Medium,Low,High,8.1,Regular,Good,0
12.8,High,High,Medium,Medium,5.2,Occasional,Poor,2
10.6,Medium,High,High,High,7.0,None,Average,2
13.4,Medium,High,High,Low,7.2,Occasional,Poor,1
9.5,Medium,High,Low,Low,4.8,None,Average,1
11.3,Low,High,Medium,High,4.4,Regular,Good,1
5.7,High,High,High,Low,4.1,None,Average,2
8.0,Low,Low,High,High,6.6,Regular,Average,1
13.1,Medium,High,High,Low,3.1,None,Average,2
7.8,Medium,Low,High,Medium,6.3,None,Poor,2
7.3,Medium,Low,Low,Low,5.4,Regular,Poor,1
10.7,High,High,Low,Low,5.9,None,Average,1
7.0,Low,High,Medium,High,6.9,None,Good,1
11.8,High,Medium,Medium,Low,7.9,Regular,Average,0
10.1,Medium,Medium,Low,Low,3.7,None,Good,0
5.3,Low,Low,Low,Medium,6.6,Occasional,Average,0
13.1,Low,Low,High,Medium,7.2,Occasional,Good,0
12.5,Medium,Low,High,Medium,5.0,Occasional,Average,1
11.7,High,Medium,High,Low,4.5,Occasional,Good,1
4.8,Medium,High,Low,Low,3.7,Occasional,Poor,1
7.5,Low,High,Low,High,7.6,None,Poor,2
9.8,High,Low,High,High,6.6,Regular,Good,2
7.7,Medium,High,Medium,Medium,9.0,Occasional,Average,1
6.2,High,Low,Medium,Low,5.3,Occasional,Poor,1
7.3,Medium,High,Medium,Medium,7.6,Occasional,Average,0
7.2,Low,High,Medium,Medium,3.7,Regular,Good,1
7.2,Medium,Low,Low,High,6.2,Regular,Good,1
12.7,Medium,Medium,High,Low,5.7,Occasional,Good,1
6.1,Medium,High,Low,High,3.4,Regular,Good,1
9.3,Medium,Low,Medium,Low,8.7,None,Good,0
4.6,Medium,High,Low,Low,6.8,Regular,Average,0
6.1,High,High,Low,Low,4.8,Occasional,Good,1
13.7,High,Low,High,Medium,7.7,None,Good,1
13.3,Low,Medium,High,Medium,6.9,Occasional,Average,0
6.1,Low,Low,Low,High,5.5,Occasional,Average,1
12.3,Medium,Low,High,Low,7.4,Occasional,Poor,1
9.3,Low,Low,High,Medium,4.8,None,Average,2
10.7,Low,Low,Medium,Medium,8.1,None,Good,0
12.5,High,Low,Low,High,6.4,Occasional,Good,1
10.3,Low,Low,Low,High,5.1,None,Average,1
9.2,Medium,Low,High,Low,3.4,Occasional,Poor,1
9.8,Low,High,Medium,Medium,5.8,None,Good,1
5.3,Low,High,High,Medium,4.4,Regular,Good,1
4.0,Low,Low,Low,High,4.5,Regular,Average,1
4.3,High,Medium,Medium,Low,6.7,Regular,Average,1
6.0,Low,High,Low,Low,5.6,None,Good,1
6.1,High,High,Low,Medium,8.3,Regular,Good,1
5.3,Low,Medium,Medium,Low,3.7,Regular,Good,0
5.0,Medium,Low,Low,High,8.0,Regular,Poor,1
8.0,High,High,High,Low,8.8,Regular,Good,1
12.5,High,Medium,High,High,5.9,Occasional,Good,2
6.8,Medium,High,Low,Medium,3.3,Regular,Poor,2
13.1,Medium,Medium,High,Low,3.7,None,Poor,2
5.2,High,High,Low,Medium,8.0,Occasional,Average,1
6.0,Medium,Medium,Low,Low,8.8,None,Poor,1
6.9,Low,Medium,Medium,High,6.3,Occasional,Average,1
12.1,Low,Medium,Medium,Low,6.5,None,Good,0
14.0,Low,Low,High,High,6.7,None,Good,2
12.3,High,Medium,Medium,Medium,4.1,None,Average,2
7.8,High,Medium,Low,High,6.0,None,Good,1
7.5,High,High,Low,High,5.0,None,Good,2
7.5,Medium,Low,High,Low,6.8,None,Good,1
12.9,Low,High,High,Medium,6.0,Regular,Average,1
11.3,Low,High,Low,High,4.6,None,Good,2
10.7,High,Medium,Low,Low,8.6,Occasional,Average,0
11.8,Medium,Low,High,Low,6.7,None,Average,1
4.2,High,Medium,Medium,Low,8.7,Occasional,Good,0
11.4,High,Medium,Medium,Low,7.7,Regular,Poor,1
10.7,Low,Low,Low,Low,3.9,None,Poor,1
9.4,Medium,High,Low,Medium,6.2,Occasional,Average,1
6.0,Medium,Medium,Medium,Low,7.3,Regular,Average,0
6.0,High,Low,Medium,Medium,6.5,None,Poor,2
10.9,High,Medium,Low,Medium,5.9,Regular,Poor,1
13.9,Medium,Medium,High,Low,7.1,Regular,Poor,1
10.0,Medium,High,Medium,Low,8.8,Occasional,Good,0
14.0,Medium,Low,Medium,Low,3.5,None,Good,1
6.6,Low,Medium,Medium,High,4.9,None,Good,1
11.0,High,Medium,High,Low,3.0,Regular,Poor,2
10.7,Medium,Low,Medium,High,4.4,Regular,Average,1
13.7,Medium,Medium,Medium,Medium,8.1,None,Good,0
6.8,Low,Medium,Medium,Medium,8.5,Regular,Poor,1
4.8,Medium,Low,Low,Medium,3.5,Occasional,Average,0
11.5,Low,Medium,Medium,Low,8.7,Occasional,Poor,0
11.0,Medium,Medium,Medium,Medium,4.3,None,Average,1
10.3,Low,Low,High,High,7.8,None,Good,1
10.9,High,Low,High,Low,6.4,Regular,Average,1
10.2,High,High,Medium,Low,7.5,None,Average,1
12.5,Low,Medium,High,Medium,5.8,Occasional,Poor,1
5.5,Low,High,Low,Low,3.2,Regular,Good,1
9.7,Low,High,Medium,High,6.3,None,Poor,2
13.3,High,Low,High,Low,5.0,Regular,Average,1
7.3,Low,Medium,High,Medium,3.8,Occasional,Poor,1
13.5,Low,Low,Low,Low,7.3,Occasional,Good,0
9.6,Medium,High,Low,High,8.7,Regular,Good,1
4.8,Medium,High,Medium,Medium,5.4,Occasional,Good,1
5.5,Low,High,Medium,Low,6.9,Regular,Average,0
9.8,Low,High,Low,Low,7.9,None,Good,0
10.3,High,Low,Low,Medium,3.5,Occasional,Good,0
10.4,Medium,Medium,Low,High,5.4,None,Good,1
5.4,Medium,Medium,Low,Low,5.6,Occasional,Poor,0
5.5,Low,Medium,Low,Medium,7.1,Occasional,Poor,0
8.0,High,Low,High,High,8.3,Regular,Average,1
9.8,Medium,High,Medium,Medium,7.9,Regular,Poor,1
10.0,Low,Low,High,Medium,6.7,None,Good,1
6.4,Medium,High,Medium,Low,4.7,Regular,Poor,2
4.3,Low,Medium,Low,Low,7.7,None,Good,0
9.4,Low,High,Low,Low,5.4,None,Good,1
7.5,Low,High,Low,High,4.3,None,Average,2
5.3,High,Medium,High,Medium,7.8,Occasional,Good,1
4.1,High,Medium,Low,Low,5.9,Regular,Average,0
8.4,Low,Medium,Low,Medium,8.1,None,Poor,1
6.0,Medium,Medium,High,Low,8.0,Occasional,Poor,1
10.4,Medium,Low,Medium,Medium,6.3,Regular,Poor,1
5.4,High,Medium,High,Low,4.3,None,Average,2
4.4,Medium,High,Medium,High,3.8,Occasional,Good,1
9.3,Low,Medium,Low,Medium,3.1,Regular,Average,0
12.4,High,Low,High,Medium,6.5,Regular,Good,1
7.6,Medium,High,Medium,Medium,4.7,Occasional,Average,1
6.8,Medium,Medium,Medium,Medium,8.2,Occasional,Average,0
12.7,Low,Low,Medium,High,5.2,Regular,Good,0
11.7,High,High,Low,High,8.6,Occasional,Good,1
10.0,Medium,Low,High,High,3.5,Regular,Good,1
4.2,High,Low,High,High,5.0,None,Average,2
4.4,Medium,Low,High,High,6.1,Occasional,Average,1
6.6,Low,High,Medium,Low,7.9,None,Average,1
12.8,Medium,Medium,Medium,Low,3.9,None,Good,1
13.2,Medium,Medium,Medium,High,7.1,None,Poor,2
4.2,Medium,High,Medium,Medium,3.2,None,Poor,2
4.9,High,High,Low,Low,7.9,None,Poor,2
6.9,Medium,Low,Medium,Low,4.9,Regular,Average,0
9.0,Medium,Low,Low,High,7.9,None,Poor,2
13.7,Low,Low,High,High,4.1,Regular,Poor,2
4.8,High,High,Medium,Medium,4.4,Regular,Good,2
7.2,High,High,Medium,Low,6.7,Occasional,Good,1
9.1,Low,Low,Low,High,6.3,None,Poor,1
13.6,Low,Medium,High,High,3.5,Regular,Average,2
13.1,Low,Low,Medium,Medium,5.9,Regular,Poor,1
8.4,Low,Medium,High,High,5.0,Occasional,Good,1
4.5,Medium,Medium,High,High,4.9,Occasional,Poor,2
13.3,Medium,High,Medium,High,7.1,None,Good,2
13.2,Medium,High,Low,Low,7.8,Regular,Poor,1
4.1,Medium,High,Medium,Medium,7.7,None,Poor,1
9.1,Low,High,Low,Medium,3.9,None,Poor,2
10.4,Low,Medium,Medium,High,3.1,Regular,Good,1
11.3,Low,Medium,Medium,Low,4.4,None,Average,0
8.1,High,Low,High,Low,3.1,Regular,Poor,2
12.3,Low,Low,Medium,Low,4.6,Regular,Poor,1
7.7,Medium,Medium,Low,Medium,8.1,None,Average,0
10.2,Low,Medium,High,Medium,7.8,None,Average,1
8.7,Medium,Low,Medium,High,3.8,None,Poor,2
13.4,High,Low,High,Medium,6.6,None,Poor,2
8.9,Low,Medium,Low,Low,8.1,Regular,Good,0
8.0,Low,High,Low,Low,7.4,None,Good,1
13.8,Low,Medium,Low,Medium,7.0,Regular,Poor,1
8.3,Low,High,Medium,Low,4.5,Regular,Good,1
13.2,Low,Medium,Low,High,3.7,Regular,Average,1
9.0,High,Medium,Medium,Medium,7.9,None,Good,1
9.9,High,High,Medium,High,3.5,Regular,Average,2
8.9,High,Medium,Low,High,6.6,Regular,Average,1
6.9,Medium,Medium,Low,Low,4.6,Regular,Good,0
9.7,Medium,Medium,High,Medium,7.5,Occasional,Average,0
6.9,Medium,High,High,Low,5.8,Regular,Average,1
11.0,High,High,High,Low,3.4,Regular,Good,2
13.3,High,Medium,High,Medium,5.6,Regular,Poor,2
11.8,Medium,High,Low,Medium,5.7,Occasional,Average,0
6.3,Low,Low,Medium,High,8.7,Occasional,Average,1
13.0,Medium,High,Low,High,5.0,Occasional,Good,1
11.2,Medium,Low,Medium,Low,7.8,None,Good,0
7.2,Medium,Medium,Medium,Low,3.9,None,Good,1
12.2,High,High,Low,Medium,5.1,None,Good,2
11.2,High,High,High,Low,3.5,None,Poor,2
5.9,High,High,Low,Low,5.5,Regular,Poor,2
8.0,High,High,High,High,6.7,Occasional,Poor,2
10.1,High,Medium,High,Low,4.1,None,Poor,2
13.8,High,Low,Medium,Medium,7.0,Regular,Average,0
7.1,Low,Low,High,Low,5.7,None,Good,1
11.0,High,High,Low,Medium,8.7,None,Poor,2
11.6,High,High,Medium,Low,6.2,None,Average,1
12.2,High,Medium,Low,High,3.2,None,Poor,2
6.9,Medium,High,Low,Low,3.8,Regular,Good,1
4.6,Medium,Low,Low,Low,6.2,Regular,Good,0
9.5,High,Medium,High,Low,7.9,Regular,Average,1
6.3,High,Medium,High,High,4.9,None,Poor,2
9.3,High,Medium,High,Low,4.2,None,Good,2
5.3,High,High,Low,Medium,7.3,Occasional,Average,1
7.3,Medium,Medium,Low,Medium,4.9,Occasional,Average,0
9.8,High,Low,High,Low,7.2,Occasional,Good,1
4.8,High,Low,Low,Low,5.2,Regular,Average,0
10.0,Medium,Medium,High,Medium,4.7,None,Good,1
5.9,Low,Low,High,High,8.9,Occasional,Average,1
5.8,Low,Medium,High,Low,7.4,None,Good,1
10.2,High,Low,Medium,Medium,4.2,Occasional,Average,1
4.6,Medium,Medium,Medium,Low,3.7,Regular,Good,0
8.2,High,High,Low,High,5.9,None,Good,2
13.1,Low,High,Low,Low,3.7,Occasional,Poor,1
10.3,Low,High,Low,Medium,4.8,Occasional,Poor,1
10.4,Low,Medium,High,High,6.9,Occasional,Average,1
10.8,Low,Low,Medium,High,6.8,Occasional,Poor,2
9.7,Low,High,Medium,Medium,3.6,Regular,Good,1
4.3,Low,Medium,Low,High,3.2,None,Poor,2
9.9,High,Low,High,Low,6.3,Regular,Poor,2
4.2,Low,Low,High,High,8.7,Regular,Poor,1
9.1,Medium,High,High,Medium,7.3,None,Average,1
12.2,High,High,Low,High,5.5,None,Average,2
5.6,High,Medium,High,Low,6.8,Regular,Average,1
11.6,High,Low,Medium,High,6.1,Regular,Poor,2
4.5,High,High,High,High,4.0,Occasional,Poor,2
4.7,Medium,Low,High,High,8.6,Occasional,Average,1
5.3,Medium,Low,Medium,Low,4.2,Occasional,Average,0
9.9,Medium,Medium,High,High,6.7,Regular,Poor,2
13.8,High,Medium,High,Low,7.3,None,Average,1
5.3,Low,High,High,Medium,3.3,Occasional,Good,1
10.6,High,High,Medium,Medium,8.1,None,Average,2
6.5,Medium,High,Low,Medium,7.8,None,Good,0
6.0,Low,High,High,Medium,8.0,Occasional,Good,1
5.2,High,Medium,High,High,5.5,Regular,Good,1
8.8,Low,High,High,Medium,4.5,Regular,Poor,2
13.5,Low,Medium,Low,High,5.9,None,Average,1
5.6,Low,Medium,Medium,Medium,5.2,Occasional,Average,0
13.7,High,Low,Medium,Low,6.1,Occasional,Poor,1
5.3,Medium,Medium,Medium,Medium,8.5,None,Average,0
6.2,High,High,Low,High,3.2,Occasional,Good,1
4.5,High,High,High,Medium,5.6,None,Good,2
6.0,Medium,Low,Low,Medium,6.2,Regular,Good,0
8.4,High,High,Low,High,9.0,None,Average,2
6.8,Medium,High,Low,Low,6.4,Occasional,Good,0
4.7,Low,Medium,Medium,Medium,7.8,Occasional,Good,0
10.2,Medium,High,High,Low,3.5,Regular,Poor,2
5.2,Low,Medium,High,High,5.8,Regular,Good,1
4.0,Medium,Medium,Medium,High,4.2,Occasional,Average,1
8.3,Low,Medium,High,Low,6.9,Occasional,Good,0
11.1,High,Medium,Medium,Low,7.0,None,Poor,1
10.5,Low,Medium,Low,Low,5.9,Occasional,Poor,0
8.2,Medium,Low,Low,High,9.0,None,Average,0
7.2,Medium,Low,Low,Low,9.0,Occasional,Good,0
9.3,High,High,Medium,Medium,8.3,Regular,Average,1
5.1,Low,Low,High,Medium,7.8,Occasional,Good,0
6.7,Medium,High,Low,High,3.8,Regular,Poor,2
9.3,Low,Medium,Low,Low,3.2,Occasional,Poor,1
10.6,High,Medium,Low,Medium,3.2,None,Average,1
8.6,Medium,Low,Low,Low,3.8,Regular,Good,0
10.6,Low,High,High,High,3.9,Regular,Poor,2
7.7,Medium,High,Medium,Medium,8.3,Regular,Good,1
6.3,Medium,Low,High,Medium,6.4,None,Poor,2
8.0,High,High,High,Low,6.5,None,Average,2
13.9,Medium,Medium,Low,High,8.3,Occasional,Average,0
8.6,Low,Low,High,Low,6.9,Regular,Poor,1
11.9,High,Low,Medium,High,7.9,Occasional,Good,1
5.2,Low,Medium,High,High,4.4,Occasional,Poor,2
12.2,Medium,High,Low,Medium,3.3,None,Good,1
7.8,High,High,High,High,5.1,None,Average,2
10.7,Low,Medium,Low,High,3.6,Occasional,Average,0
10.5,Low,Medium,Low,Low,6.8,None,Good,0
10.0,Low,Medium,Medium,Low,7.5,Regular,Good,0
8.1,High,Low,Medium,Low,6.1,None,Average,1
12.0,High,Low,Low,Medium,3.2,None,Average,1
10.7,High,Medium,High,Medium,4.9,None,Poor,2
10.8,Low,Medium,High,Medium,3.4,None,Poor,2
7.7,Low,Low,High,Medium,8.2,None,Good,1
11.8,Medium,Medium,Medium,Low,4.9,Regular,Poor,1
5.1,High,Low,High,Medium,6.1,None,Good,2
7.6,Medium,High,Medium,Medium,4.7,Occasional,Good,1
9.0,High,Medium,High,High,3.0,Occasional,Poor,2
12.6,Low,High,High,Low,8.9,None,Poor,2
13.4,High,Medium,Medium,High,7.4,None,Good,1
6.0,Low,Medium,Medium,Low,3.3,Regular,Average,0
6.6,High,Medium,Medium,Medium,8.1,Occasional,Good,1
12.6,Medium,Medium,High,Medium,8.5,Occasional,Poor,1
5.5,High,Medium,Medium,High,3.6,Occasional,Poor,2
10.3,High,High,Medium,Medium,5.7,Occasional,Average,1
5.4,High,Medium,Medium,Low,8.6,Occasional,Poor,1
5.0,Medium,High,High,Low,8.5,Occasional,Average,1
7.9,Low,Low,Medium,High,4.9,None,Good,2
5.0,Medium,Medium,Low,High,3.6,Regular,Good,0
13.8,Medium,High,Low,Medium,5.5,None,Good,1
6.3,Medium,Low,Low,Low,7.5,Regular,Average,0
6.5,High,Medium,High,Low,4.3,None,Average,2
11.9,High,High,Medium,Medium,3.8,None,Good,2
5.0,High,High,Medium,Medium,4.1,Occasional,Poor,2
10.9,High,Low,High,Medium,5.2,Occasional,Good,1
13.5,Medium,Low,Medium,Medium,7.6,Regular,Average,0
7.6,High,High,Low,Medium,7.5,Occasional,Poor,1
6.4,High,Medium,Low,Low,5.7,None,Average,1
12.2,Medium,Medium,High,Low,8.5,Regular,Good,0
10.8,High,High,High,High,4.0,Regular,Average,2
10.5,High,Low,Medium,High,7.8,Regular,Good,1
8.5,High,Low,High,Medium,8.9,Occasional,Poor,2
12.3,Low,Medium,High,High,5.0,Regular,Average,1
6.9,Medium,High,High,Medium,6.0,Regular,Average,1
10.9,Medium,Medium,Low,Low,8.9,Regular,Average,0
9.5,Medium,Medium,High,Low,6.0,Occasional,Average,1
5.0,Low,Low,Medium,Low,8.7,None,Average,0
13.2,High,Low,Medium,Medium,6.6,Regular,Average,0
9.8,Medium,Medium,Medium,High,7.4,None,Poor,2
7.9,Low,High,Low,Low,3.3,Occasional,Good,0
5.7,High,Medium,Medium,Low,6.0,Occasional,Good,1
9.4,Medium,High,Medium,Low,5.1,Occasional,Good,0
9.8,High,Low,High,Medium,6.5,Occasional,Good,1
10.6,Low,Low,High,Low,5.3,Occasional,Average,1
12.7,Low,Medium,Medium,High,4.5,Occasional,Good,1
6.3,Medium,High,High,Low,7.3,Regular,Average,1
6.5,Medium,Medium,High,Medium,3.4,None,Good,1
10.8,High,High,Medium,High,3.8,None,Good,2
6.9,High,High,Low,High,3.4,Regular,Average,2
10.2,High,Low,High,Low,4.8,Regular,Good,1
9.6,Low,Medium,High,Medium,5.9,Occasional,Poor,2
8.0,Medium,Medium,Medium,Medium,3.1,Regular,Average,0
8.4,Low,High,Low,Medium,4.6,Occasional,Poor,1
11.2,Medium,Low,High,Low,5.4,None,Poor,1
12.5,Medium,Medium,High,Medium,5.9,None,Average,1
5.3,Medium,High,Medium,High,8.3,None,Poor,2
9.1,High,Low,Medium,Medium,5.7,None,Average,1
7.8,Medium,Medium,Medium,Low,7.4,None,Poor,1
12.6,Medium,High,Medium,Medium,4.0,Regular,Average,1
10.8,Low,High,Medium,High,5.3,None,Average,2
6.2,High,Medium,Low,Medium,3.8,None,Average,1
8.9,High,Medium,Medium,Low,3.6,None,Poor,2
7.7,Medium,Low,Low,Low,3.9,Occasional,Average,0
7.7,Medium,Medium,Medium,Medium,8.0,Regular,Average,0
8.2,High,Low,Low,High,7.1,None,Average,1
8.8,High,Low,Medium,High,5.4,Occasional,Good,1
12.8,Low,High,Low,High,7.9,Occasional,Good,1
13.2,Medium,High,High,Medium,7.2,Occasional,Average,1
4.6,Medium,High,Medium,Low,7.1,Regular,Average,0
12.1,Medium,Medium,Medium,Low,6.5,Regular,Good,0
13.7,Medium,Medium,Medium,High,7.9,None,Poor,1
9.9,Medium,Medium,Medium,Medium,6.3,Regular,Poor,1
5.8,Medium,Low,Medium,Low,5.8,Occasional,Poor,0
10.6,High,Medium,Medium,High,7.5,Regular,Average,1
12.3,Low,Low,Low,High,5.9,None,Average,1
10.1,Low,Medium,Low,Low,4.0,Regular,Good,0
12.4,High,High,High,Low,4.6,Regular,Poor,2
5.8,Medium,Low,Low,High,5.7,None,Good,1
9.5,Low,High,Medium,High,7.9,Regular,Poor,2
8.6,Low,High,Low,Medium,3.6,Regular,Average,1
11.2,Medium,Medium,Low,Low,4.7,Regular,Good,0
11.3,High,Medium,Medium,Medium,4.4,Occasional,Good,1
11.5,Low,High,Low,Low,8.0,Occasional,Poor,0
12.5,High,Medium,Low,High,7.9,Regular,Average,1
4.0,High,High,Medium,Low,8.2,None,Poor,2
5.6,Medium,Low,High,Medium,5.8,Regular,Good,1
13.2,Low,Medium,High,Low,8.4,None,Good,1
9.9,High,Low,High,Medium,7.6,Occasional,Average,1
12.9,Low,High,Medium,High,8.5,None,Good,1
9.0,Medium,High,Low,Low,6.4,Regular,Good,0
11.0,High,Medium,Medium,High,7.5,Occasional,Poor,2
5.3,Medium,Medium,High,Medium,6.2,Regular,Average,1
11.8,Medium,Low,Medium,Low,6.0,Occasional,Average,0
9.2,High,Low,High,High,6.8,None,Average,2
12.8,Low,Medium,High,Low,4.9,None,Good,1
12.2,High,High,Medium,High,7.3,Regular,Good,2
12.4,High,High,High,Low,8.5,Regular,Good,1
11.4,Low,High,High,Medium,7.9,None,Average,1
10.0,Medium,Medium,High,High,8.8,Regular,Good,1
7.6,High,Low,High,Low,7.0,Regular,Poor,2
8.5,Medium,Low,Low,Low,5.4,Regular,Poor,1
5.5,Low,Medium,High,Medium,8.1,Regular,Good,0
12.4,Medium,Medium,High,Low,4.3,Regular,Good,1
4.9,High,Low,Low,Low,6.6,Regular,Good,0
10.0,Low,Medium,Low,Low,7.5,Regular,Poor,0
4.3,Low,High,Medium,High,7.8,Regular,Good,1
12.5,Medium,Medium,High,Medium,4.3,Regular,Average,1
13.0,High,Medium,High,Medium,5.6,None,Poor,2
9.9,Low,Medium,High,Medium,8.2,Regular,Good,1
9.2,Low,Low,High,High,3.7,Occasional,Poor,2
11.9,Low,High,Medium,Medium,8.6,Occasional,Poor,1
7.6,Low,High,Low,Low,8.7,None,Poor,1
8.9,Medium,Low,High,High,3.4,Regular,Average,1
9.8,Low,Low,Medium,Medium,7.6,Regular,Average,0
11.8,Medium,High,Low,Medium,8.7,Occasional,Good,0
5.6,Low,Medium,Medium,Low,4.0,Occasional,Poor,1
12.9,High,Low,Low,Medium,6.1,Occasional,Good,1
7.2,Medium,High,Medium,High,8.0,None,Poor,2
8.0,Low,High,Low,Low,8.2,Regular,Average,0
6.8,Low,Low,Low,Medium,8.7,Regular,Poor,1
8.4,Medium,High,High,Low,8.8,Regular,Poor,1
11.6,Medium,Medium,High,High,4.7,Occasional,Poor,2
5.2,Low,High,Low,High,3.7,None,Poor,2
4.2,Medium,Medium,Low,High,3.8,Occasional,Good,1
6.8,Medium,Low,Low,Low,3.3,Regular,Poor,1
10.8,High,Medium,Low,High,6.5,Occasional,Poor,2
9.2,Low,Medium,Medium,High,6.7,Regular,Poor,1
4.3,High,Low,High,High,6.3,None,Average,2
12.6,Low,Low,Medium,Medium,4.3,Regular,Poor,1
8.8,Low,Medium,Medium,High,6.8,Regular,Good,0
8.9,Low,Medium,Low,Medium,7.2,Regular,Good,0
8.7,Medium,High,High,Medium,7.6,None,Poor,2
10.6,Medium,Low,Low,High,6.9,Occasional,Average,1
6.0,Medium,High,Medium,Low,5.7,Regular,Average,0
8.0,Low,Low,High,Medium,5.8,Occasional,Good,1
10.8,Low,Low,Medium,Low,5.2,Occasional,Poor,1
10.4,High,Low,Medium,Low,8.3,None,Poor,2
12.3,Medium,Medium,Low,Medium,6.5,Occasional,Average,0
